workerid,proliferate.condition,block_id,condition,item_id,response,rt,trial_num,verb,error,answer,response_correct,response_clean,response_type,response_num,discourse_type
458,condition1,4,yiwei_contrastive,9,认为,15540,46,yiwei,NA,NA,NA,other,non-belief,0,constrained
458,condition1,4,juede_contrastive,15,觉得,16292,47,juede,NA,NA,NA,juede,non-belief,1,constrained
458,condition1,4,yiwei_unclear,102,认为,9056,48,yiwei,NA,NA,NA,other,non-belief,0,unconstrained
458,condition1,4,yiwei_contrastive,4,以为,13960,49,yiwei,NA,NA,NA,yiwei,contra,1,constrained
458,condition1,4,juede_unclear,117,看,29779,50,juede,NA,NA,NA,other,non-other,0,unconstrained
431,condition1,0,juede_unclear,111,知道,4440,1,juede,NA,NA,NA,other,factive-belief,0,unconstrained
431,condition1,0,juede_contrastive,13,用,24219,3,juede,NA,NA,NA,other,verb,0,constrained
431,condition1,0,juede_unclear,119,看,14622,4,juede,NA,NA,NA,other,non-other,0,unconstrained
431,condition1,0,yiwei_unclear,103,看,18509,5,yiwei,NA,NA,NA,other,non-other,0,unconstrained
431,condition1,0,yiwei_contrastive,2,叫,6518,6,yiwei,NA,NA,NA,other,non-say,0,constrained
431,condition1,0,juede_contrastive,20,住,7997,7,juede,NA,NA,NA,other,other,0,constrained
431,condition1,0,yiwei_unclear,110,请,6826,8,yiwei,NA,NA,NA,other,other,0,unconstrained
431,condition1,0,yiwei_contrastive,3,以为,8986,9,yiwei,NA,NA,NA,yiwei,contra,1,constrained
431,condition1,1,yiwei_contrastive,5,以为,5992,11,yiwei,NA,NA,NA,yiwei,contra,1,constrained
431,condition1,1,juede_unclear,116,认,16815,13,juede,NA,NA,NA,other,other,0,unconstrained
431,condition1,1,yiwei_contrastive,7,以为,13267,14,yiwei,NA,NA,NA,yiwei,contra,1,constrained
431,condition1,1,juede_contrastive,11,还是,3297,15,juede,NA,NA,NA,other,other,0,constrained
431,condition1,1,juede_unclear,113,觉得,3588,16,juede,NA,NA,NA,juede,non-belief,1,unconstrained
431,condition1,1,juede_contrastive,18,在,10834,17,juede,NA,NA,NA,other,other,0,constrained
431,condition1,1,yiwei_unclear,104,来,21834,19,yiwei,NA,NA,NA,other,other,0,unconstrained
431,condition1,1,yiwei_unclear,101,知道,7224,20,yiwei,NA,NA,NA,other,factive-belief,0,unconstrained
431,condition1,2,yiwei_contrastive,6,知道,10469,21,yiwei,NA,NA,NA,other,factive-belief,0,constrained
431,condition1,2,yiwei_unclear,102,知道,7815,22,yiwei,NA,NA,NA,other,factive-belief,0,unconstrained
431,condition1,2,juede_unclear,115,说,6874,24,juede,NA,NA,NA,other,non-say,0,unconstrained
431,condition1,2,juede_unclear,114,看,2955,25,juede,NA,NA,NA,other,non-other,0,unconstrained
431,condition1,2,juede_contrastive,16,看,3431,26,juede,NA,NA,NA,other,non-other,0,constrained
431,condition1,2,juede_contrastive,17,吃,5387,27,juede,NA,NA,NA,other,verb,0,constrained
431,condition1,2,yiwei_unclear,108,知道,3979,28,yiwei,NA,NA,NA,other,factive-belief,0,unconstrained
431,condition1,2,yiwei_contrastive,10,知道,3496,29,yiwei,NA,NA,NA,other,factive-belief,0,constrained
431,condition1,3,juede_contrastive,12,知道,5804,31,juede,NA,NA,NA,other,factive-belief,0,constrained
431,condition1,3,yiwei_contrastive,1,知道,3730,32,yiwei,NA,NA,NA,other,factive-belief,0,constrained
431,condition1,3,juede_unclear,112,觉得,2870,33,juede,NA,NA,NA,juede,non-belief,1,unconstrained
431,condition1,3,yiwei_unclear,105,知道,6073,34,yiwei,NA,NA,NA,other,factive-belief,0,unconstrained
431,condition1,3,juede_contrastive,19,觉得,3719,35,juede,NA,NA,NA,juede,non-belief,1,constrained
431,condition1,3,yiwei_unclear,106,知道,2752,36,yiwei,NA,NA,NA,other,factive-belief,0,unconstrained
431,condition1,3,juede_unclear,118,觉得,2851,37,juede,NA,NA,NA,juede,non-belief,1,unconstrained
431,condition1,3,yiwei_contrastive,4,以为,3097,40,yiwei,NA,NA,NA,yiwei,contra,1,constrained
431,condition1,4,juede_contrastive,14,放,7741,41,juede,NA,NA,NA,other,verb,0,constrained
431,condition1,4,juede_unclear,120,住,6609,43,juede,NA,NA,NA,other,other,0,unconstrained
431,condition1,4,yiwei_unclear,107,以为,3161,44,yiwei,NA,NA,NA,yiwei,contra,1,unconstrained
431,condition1,4,juede_contrastive,15,知道,18181,45,juede,NA,NA,NA,other,factive-belief,0,constrained
431,condition1,4,yiwei_contrastive,8,不知道,19701,46,yiwei,NA,NA,NA,other,factive-belief,0,constrained
431,condition1,4,yiwei_unclear,109,说,7297,48,yiwei,NA,NA,NA,other,non-say,0,unconstrained
431,condition1,4,juede_unclear,117,放,4164,49,juede,NA,NA,NA,other,verb,0,unconstrained
431,condition1,4,yiwei_contrastive,9,要的,4750,50,yiwei,NA,NA,NA,other,other,0,constrained
469,condition1,0,juede_unclear,118,觉得,46288,1,juede,NA,NA,NA,juede,non-belief,1,unconstrained
469,condition1,0,juede_contrastive,19,觉得,21324,2,juede,NA,NA,NA,juede,non-belief,1,constrained
469,condition1,0,yiwei_contrastive,3,以为,12765,3,yiwei,NA,NA,NA,yiwei,contra,1,constrained
469,condition1,0,juede_contrastive,17,画的,50041,4,juede,NA,NA,NA,other,other,0,constrained
469,condition1,0,yiwei_contrastive,4,以为,30571,5,yiwei,NA,NA,NA,yiwei,contra,1,constrained
469,condition1,0,yiwei_unclear,110,以为,41819,7,yiwei,NA,NA,NA,yiwei,contra,1,unconstrained
469,condition1,0,juede_unclear,119,觉得,17452,9,juede,NA,NA,NA,juede,non-belief,1,unconstrained
469,condition1,0,yiwei_unclear,103,以为,29822,10,yiwei,NA,NA,NA,yiwei,contra,1,unconstrained
469,condition1,1,juede_unclear,113,认为,16535,11,juede,NA,NA,NA,other,non-belief,0,unconstrained
469,condition1,1,yiwei_unclear,107,以为,9911,12,yiwei,NA,NA,NA,yiwei,contra,1,unconstrained
469,condition1,1,yiwei_contrastive,8,以为,61137,13,yiwei,NA,NA,NA,yiwei,contra,1,constrained
469,condition1,1,yiwei_contrastive,5,以为,10794,14,yiwei,NA,NA,NA,yiwei,contra,1,constrained
469,condition1,1,yiwei_unclear,108,认为,27614,15,yiwei,NA,NA,NA,other,non-belief,0,unconstrained
469,condition1,1,juede_unclear,114,觉得,21755,16,juede,NA,NA,NA,juede,non-belief,1,unconstrained
469,condition1,1,juede_contrastive,15,认为,34489,18,juede,NA,NA,NA,other,non-belief,0,constrained
469,condition1,1,juede_contrastive,13,认为,23693,19,juede,NA,NA,NA,other,non-belief,0,constrained
469,condition1,2,yiwei_contrastive,6,以为,11495,21,yiwei,NA,NA,NA,yiwei,contra,1,constrained
469,condition1,2,juede_contrastive,11,觉得,17650,23,juede,NA,NA,NA,juede,non-belief,1,constrained
469,condition1,2,juede_contrastive,18,觉得,16332,24,juede,NA,NA,NA,juede,non-belief,1,constrained
469,condition1,2,yiwei_contrastive,7,以为,16136,25,yiwei,NA,NA,NA,yiwei,contra,1,constrained
469,condition1,2,juede_unclear,120,感觉,38824,27,juede,NA,NA,NA,other,non-belief,0,unconstrained
469,condition1,2,juede_unclear,112,感觉,41691,28,juede,NA,NA,NA,other,non-belief,0,unconstrained
469,condition1,2,yiwei_unclear,106,像,21925,29,yiwei,NA,NA,NA,other,other,0,unconstrained
469,condition1,2,yiwei_unclear,101,以为,15031,30,yiwei,NA,NA,NA,yiwei,contra,1,unconstrained
469,condition1,3,yiwei_unclear,104,以为,10780,31,yiwei,NA,NA,NA,yiwei,contra,1,unconstrained
469,condition1,3,juede_contrastive,20,认为,58423,32,juede,NA,NA,NA,other,non-belief,0,constrained
469,condition1,3,juede_unclear,111,觉得,12315,33,juede,NA,NA,NA,juede,non-belief,1,unconstrained
469,condition1,3,juede_contrastive,12,觉得,16153,34,juede,NA,NA,NA,juede,non-belief,1,constrained
469,condition1,3,juede_unclear,115,认为,31488,35,juede,NA,NA,NA,other,non-belief,0,unconstrained
469,condition1,3,yiwei_contrastive,2,以为,16183,37,yiwei,NA,NA,NA,yiwei,contra,1,constrained
469,condition1,3,yiwei_contrastive,10,以为,10595,39,yiwei,NA,NA,NA,yiwei,contra,1,constrained
469,condition1,3,yiwei_unclear,109,以为,57420,40,yiwei,NA,NA,NA,yiwei,contra,1,unconstrained
469,condition1,4,juede_contrastive,14,觉得,34465,41,juede,NA,NA,NA,juede,non-belief,1,constrained
469,condition1,4,juede_contrastive,16,觉得,285030,42,juede,NA,NA,NA,juede,non-belief,1,constrained
469,condition1,4,juede_unclear,116,觉得,30329,43,juede,NA,NA,NA,juede,non-belief,1,unconstrained
469,condition1,4,juede_unclear,117,以为,50758,44,juede,NA,NA,NA,yiwei,contra,0,unconstrained
469,condition1,4,yiwei_contrastive,1,以为,11767,45,yiwei,NA,NA,NA,yiwei,contra,1,constrained
469,condition1,4,yiwei_unclear,105,以为,38889,47,yiwei,NA,NA,NA,yiwei,contra,1,unconstrained
469,condition1,4,yiwei_unclear,102,觉得,27160,49,yiwei,NA,NA,NA,juede,non-belief,0,unconstrained
469,condition1,4,yiwei_contrastive,9,以为,25821,50,yiwei,NA,NA,NA,yiwei,contra,1,constrained
449,condition1,0,juede_unclear,116,想,24854,1,juede,NA,NA,NA,other,non-belief,0,unconstrained
449,condition1,0,juede_contrastive,12,看,7636,2,juede,NA,NA,NA,other,non-other,0,constrained
449,condition1,0,juede_contrastive,14,就,14696,3,juede,NA,NA,NA,other,other,0,constrained
449,condition1,0,yiwei_contrastive,10,以为,5100,4,yiwei,NA,NA,NA,yiwei,contra,1,constrained
449,condition1,0,yiwei_unclear,108,觉得,13496,5,yiwei,NA,NA,NA,juede,non-belief,0,unconstrained
449,condition1,0,yiwei_contrastive,4,以为,11808,6,yiwei,NA,NA,NA,yiwei,contra,1,constrained
449,condition1,0,yiwei_unclear,103,以为,11052,8,yiwei,NA,NA,NA,yiwei,contra,1,unconstrained
449,condition1,0,juede_unclear,119,觉得,11852,9,juede,NA,NA,NA,juede,non-belief,1,unconstrained
449,condition1,1,yiwei_contrastive,8,这,26152,11,yiwei,NA,NA,NA,other,other,0,constrained
449,condition1,1,yiwei_unclear,104,看,15989,12,yiwei,NA,NA,NA,other,non-other,0,unconstrained
449,condition1,1,yiwei_contrastive,5,以为,4010,15,yiwei,NA,NA,NA,yiwei,contra,1,constrained
449,condition1,1,juede_unclear,114,担心,9395,16,juede,NA,NA,NA,other,non-emotion,0,unconstrained
449,condition1,1,juede_unclear,112,看,10441,17,juede,NA,NA,NA,other,non-other,0,unconstrained
449,condition1,1,yiwei_unclear,101,以为,4641,18,yiwei,NA,NA,NA,yiwei,contra,1,unconstrained
449,condition1,1,juede_contrastive,18,觉得,11112,19,juede,NA,NA,NA,juede,non-belief,1,constrained
449,condition1,1,juede_contrastive,13,觉得,7860,20,juede,NA,NA,NA,juede,non-belief,1,constrained
449,condition1,2,juede_contrastive,16,觉得,26434,21,juede,NA,NA,NA,juede,non-belief,1,constrained
449,condition1,2,yiwei_contrastive,1,以为,7018,22,yiwei,NA,NA,NA,yiwei,contra,1,constrained
449,condition1,2,yiwei_contrastive,3,以为,28734,23,yiwei,NA,NA,NA,yiwei,contra,1,constrained
449,condition1,2,juede_unclear,113,觉得,3374,25,juede,NA,NA,NA,juede,non-belief,1,unconstrained
449,condition1,2,yiwei_unclear,110,以为,4908,26,yiwei,NA,NA,NA,yiwei,contra,1,unconstrained
449,condition1,2,juede_unclear,111,觉得,3410,27,juede,NA,NA,NA,juede,non-belief,1,unconstrained
449,condition1,2,yiwei_unclear,102,以为,3908,28,yiwei,NA,NA,NA,yiwei,contra,1,unconstrained
449,condition1,2,juede_contrastive,19,觉得,4590,29,juede,NA,NA,NA,juede,non-belief,1,constrained
449,condition1,3,yiwei_unclear,106,以为,7500,31,yiwei,NA,NA,NA,yiwei,contra,1,unconstrained
449,condition1,3,yiwei_contrastive,7,以为,5317,33,yiwei,NA,NA,NA,yiwei,contra,1,constrained
449,condition1,3,yiwei_unclear,105,以为,4924,34,yiwei,NA,NA,NA,yiwei,contra,1,unconstrained
449,condition1,3,juede_unclear,120,以为,3706,36,juede,NA,NA,NA,yiwei,contra,0,unconstrained
449,condition1,3,juede_contrastive,11,觉得,9064,37,juede,NA,NA,NA,juede,non-belief,1,constrained
449,condition1,3,yiwei_contrastive,6,以为,3254,38,yiwei,NA,NA,NA,yiwei,contra,1,constrained
449,condition1,3,juede_contrastive,20,以为,4264,39,juede,NA,NA,NA,yiwei,contra,0,constrained
449,condition1,3,juede_unclear,117,觉得,6022,40,juede,NA,NA,NA,juede,non-belief,1,unconstrained
449,condition1,4,yiwei_unclear,107,以为,8170,41,yiwei,NA,NA,NA,yiwei,contra,1,unconstrained
449,condition1,4,yiwei_unclear,109,以为,3880,43,yiwei,NA,NA,NA,yiwei,contra,1,unconstrained
449,condition1,4,juede_contrastive,15,觉得,5563,44,juede,NA,NA,NA,juede,non-belief,1,constrained
449,condition1,4,juede_unclear,115,觉得,8649,45,juede,NA,NA,NA,juede,non-belief,1,unconstrained
449,condition1,4,yiwei_contrastive,9,以为,33106,47,yiwei,NA,NA,NA,yiwei,contra,1,constrained
449,condition1,4,juede_contrastive,17,以为,23640,48,juede,NA,NA,NA,yiwei,contra,0,constrained
449,condition1,4,juede_unclear,118,觉得,4342,49,juede,NA,NA,NA,juede,non-belief,1,unconstrained
449,condition1,4,yiwei_contrastive,2,以为,8656,50,yiwei,NA,NA,NA,yiwei,contra,1,constrained
514,condition1,0,juede_unclear,118,感觉,12254,1,juede,NA,NA,NA,other,non-belief,0,unconstrained
514,condition1,0,yiwei_contrastive,1,以为,10682,3,yiwei,NA,NA,NA,yiwei,contra,1,constrained
514,condition1,0,yiwei_unclear,104,觉得,35361,4,yiwei,NA,NA,NA,juede,non-belief,0,unconstrained
514,condition1,0,juede_contrastive,13,以为,27216,5,juede,NA,NA,NA,yiwei,contra,0,constrained
514,condition1,0,yiwei_unclear,110,看,29671,6,yiwei,NA,NA,NA,other,non-other,0,unconstrained
514,condition1,0,juede_contrastive,12,觉得,12474,7,juede,NA,NA,NA,juede,non-belief,1,constrained
514,condition1,0,juede_unclear,116,感觉,16318,8,juede,NA,NA,NA,other,non-belief,0,unconstrained
514,condition1,0,yiwei_contrastive,3,以为,11502,9,yiwei,NA,NA,NA,yiwei,contra,1,constrained
514,condition1,1,yiwei_unclear,109,再搞,26063,12,yiwei,NA,NA,NA,other,other,0,unconstrained
514,condition1,1,juede_unclear,111,觉得,10858,13,juede,NA,NA,NA,juede,non-belief,1,unconstrained
514,condition1,1,yiwei_contrastive,4,以为,13948,14,yiwei,NA,NA,NA,yiwei,contra,1,constrained
514,condition1,1,juede_unclear,112,发现,17882,15,juede,NA,NA,NA,other,factive-other,0,unconstrained
514,condition1,1,juede_contrastive,18,看到,10931,16,juede,NA,NA,NA,other,factive-other,0,constrained
514,condition1,1,yiwei_contrastive,8,怎么,32164,17,yiwei,NA,NA,NA,other,other,0,constrained
514,condition1,1,yiwei_unclear,102,说,6166,18,yiwei,NA,NA,NA,other,non-say,0,unconstrained
514,condition1,1,juede_contrastive,19,觉得,6867,20,juede,NA,NA,NA,juede,non-belief,1,constrained
514,condition1,2,juede_contrastive,14,看,27332,21,juede,NA,NA,NA,other,non-other,0,constrained
514,condition1,2,yiwei_contrastive,6,以为,18271,22,yiwei,NA,NA,NA,yiwei,contra,1,constrained
514,condition1,2,yiwei_contrastive,2,以为,11748,23,yiwei,NA,NA,NA,yiwei,contra,1,constrained
514,condition1,2,juede_unclear,115,觉得,8117,24,juede,NA,NA,NA,juede,non-belief,1,unconstrained
514,condition1,2,yiwei_unclear,105,以为,8916,25,yiwei,NA,NA,NA,yiwei,contra,1,unconstrained
514,condition1,2,juede_unclear,119,看,11581,28,juede,NA,NA,NA,other,non-other,0,unconstrained
514,condition1,2,yiwei_unclear,101,以为,5553,29,yiwei,NA,NA,NA,yiwei,contra,1,unconstrained
514,condition1,2,juede_contrastive,16,感觉,8319,30,juede,NA,NA,NA,other,non-belief,0,constrained
514,condition1,3,yiwei_unclear,106,看到,10658,32,yiwei,NA,NA,NA,other,factive-other,0,unconstrained
514,condition1,3,yiwei_unclear,107,以为,8889,33,yiwei,NA,NA,NA,yiwei,contra,1,unconstrained
514,condition1,3,juede_contrastive,20,说,16182,34,juede,NA,NA,NA,other,non-say,0,constrained
514,condition1,3,yiwei_contrastive,10,画的,6749,35,yiwei,NA,NA,NA,other,other,0,constrained
514,condition1,3,juede_unclear,114,看,15331,36,juede,NA,NA,NA,other,non-other,0,unconstrained
514,condition1,3,yiwei_contrastive,9,看,11346,38,yiwei,NA,NA,NA,other,non-other,0,constrained
514,condition1,3,juede_contrastive,17,以为,24924,39,juede,NA,NA,NA,yiwei,contra,0,constrained
514,condition1,3,juede_unclear,113,觉得,5762,40,juede,NA,NA,NA,juede,non-belief,1,unconstrained
514,condition1,4,juede_unclear,120,觉得,6107,42,juede,NA,NA,NA,juede,non-belief,1,unconstrained
514,condition1,4,juede_contrastive,15,说,20934,43,juede,NA,NA,NA,other,non-say,0,constrained
514,condition1,4,yiwei_unclear,103,看,10618,44,yiwei,NA,NA,NA,other,non-other,0,unconstrained
514,condition1,4,yiwei_contrastive,5,觉得,10703,45,yiwei,NA,NA,NA,juede,non-belief,0,constrained
514,condition1,4,yiwei_contrastive,7,以为,16202,46,yiwei,NA,NA,NA,yiwei,contra,1,constrained
514,condition1,4,juede_contrastive,11,戴,7037,48,juede,NA,NA,NA,other,verb,0,constrained
514,condition1,4,juede_unclear,117,放,6283,49,juede,NA,NA,NA,other,verb,0,unconstrained
514,condition1,4,yiwei_unclear,108,以为,18701,50,yiwei,NA,NA,NA,yiwei,contra,1,unconstrained
515,condition1,0,yiwei_contrastive,1,说,15836,1,yiwei,NA,NA,NA,other,non-say,0,constrained
515,condition1,0,yiwei_unclear,104,看,18602,2,yiwei,NA,NA,NA,other,non-other,0,unconstrained
515,condition1,0,juede_unclear,117,放,13338,3,juede,NA,NA,NA,other,verb,0,unconstrained
515,condition1,0,juede_contrastive,13,说,16374,6,juede,NA,NA,NA,other,non-say,0,constrained
515,condition1,0,yiwei_contrastive,8,以为,36771,7,yiwei,NA,NA,NA,yiwei,contra,1,constrained
515,condition1,0,juede_contrastive,11,戴,15394,8,juede,NA,NA,NA,other,verb,0,constrained
515,condition1,0,juede_unclear,119,看,8689,9,juede,NA,NA,NA,other,non-other,0,unconstrained
515,condition1,0,yiwei_unclear,103,看到,25713,10,yiwei,NA,NA,NA,other,factive-other,0,unconstrained
515,condition1,1,juede_contrastive,17,说,14954,12,juede,NA,NA,NA,other,non-say,0,constrained
515,condition1,1,yiwei_unclear,105,以为,19738,14,yiwei,NA,NA,NA,yiwei,contra,1,unconstrained
515,condition1,1,yiwei_contrastive,5,以为,8098,15,yiwei,NA,NA,NA,yiwei,contra,1,constrained
515,condition1,1,yiwei_contrastive,2,以为,6112,16,yiwei,NA,NA,NA,yiwei,contra,1,constrained
515,condition1,1,juede_contrastive,14,觉得,22135,17,juede,NA,NA,NA,juede,non-belief,1,constrained
515,condition1,1,juede_unclear,112,发现,17034,18,juede,NA,NA,NA,other,factive-other,0,unconstrained
515,condition1,1,juede_unclear,115,认为,17084,19,juede,NA,NA,NA,other,non-belief,0,unconstrained
515,condition1,1,yiwei_unclear,108,当作,22683,20,yiwei,NA,NA,NA,other,contra,0,unconstrained
515,condition1,2,yiwei_unclear,109,以为,24307,23,yiwei,NA,NA,NA,yiwei,contra,1,unconstrained
515,condition1,2,yiwei_contrastive,4,以为,7157,24,yiwei,NA,NA,NA,yiwei,contra,1,constrained
515,condition1,2,yiwei_contrastive,9,以为,7836,25,yiwei,NA,NA,NA,yiwei,contra,1,constrained
515,condition1,2,juede_contrastive,16,觉得,18404,26,juede,NA,NA,NA,juede,non-belief,1,constrained
515,condition1,2,juede_contrastive,19,觉得,14532,27,juede,NA,NA,NA,juede,non-belief,1,constrained
515,condition1,2,juede_unclear,113,认为,6066,28,juede,NA,NA,NA,other,non-belief,0,unconstrained
515,condition1,2,juede_unclear,118,觉得,8867,29,juede,NA,NA,NA,juede,non-belief,1,unconstrained
515,condition1,2,yiwei_unclear,102,说,15827,30,yiwei,NA,NA,NA,other,non-say,0,unconstrained
515,condition1,3,juede_contrastive,15,说,15119,31,juede,NA,NA,NA,other,non-say,0,constrained
515,condition1,3,yiwei_contrastive,6,以为,10229,32,yiwei,NA,NA,NA,yiwei,contra,1,constrained
515,condition1,3,yiwei_contrastive,3,以为,11217,33,yiwei,NA,NA,NA,yiwei,contra,1,constrained
515,condition1,3,yiwei_unclear,106,以为,8487,36,yiwei,NA,NA,NA,yiwei,contra,1,unconstrained
515,condition1,3,juede_contrastive,20,说,21043,37,juede,NA,NA,NA,other,non-say,0,constrained
515,condition1,3,juede_unclear,114,认为,9451,38,juede,NA,NA,NA,other,non-belief,0,unconstrained
515,condition1,3,yiwei_unclear,107,以为,8504,39,yiwei,NA,NA,NA,yiwei,contra,1,unconstrained
515,condition1,3,juede_unclear,116,看到,14836,40,juede,NA,NA,NA,other,factive-other,0,unconstrained
515,condition1,4,juede_contrastive,12,觉得,10531,41,juede,NA,NA,NA,juede,non-belief,1,constrained
515,condition1,4,juede_unclear,111,觉得,6154,42,juede,NA,NA,NA,juede,non-belief,1,unconstrained
515,condition1,4,juede_unclear,120,感觉,10274,43,juede,NA,NA,NA,other,non-belief,0,unconstrained
515,condition1,4,juede_contrastive,18,觉得,8751,44,juede,NA,NA,NA,juede,non-belief,1,constrained
515,condition1,4,yiwei_unclear,110,以为,25775,45,yiwei,NA,NA,NA,yiwei,contra,1,unconstrained
515,condition1,4,yiwei_contrastive,7,以为,8621,47,yiwei,NA,NA,NA,yiwei,contra,1,constrained
515,condition1,4,yiwei_unclear,101,以为,4274,48,yiwei,NA,NA,NA,yiwei,contra,1,unconstrained
515,condition1,4,yiwei_contrastive,10,以为,3715,49,yiwei,NA,NA,NA,yiwei,contra,1,constrained
447,condition1,0,juede_unclear,120,害怕,68230,1,juede,NA,NA,NA,other,non-emotion,0,unconstrained
447,condition1,0,juede_unclear,116,看到,46851,2,juede,NA,NA,NA,other,factive-other,0,unconstrained
447,condition1,0,yiwei_unclear,110,猜,41700,3,yiwei,NA,NA,NA,other,non-belief,0,unconstrained
447,condition1,0,yiwei_contrastive,10,以为,23400,4,yiwei,NA,NA,NA,yiwei,contra,1,constrained
447,condition1,0,yiwei_contrastive,8,认为,75133,5,yiwei,NA,NA,NA,other,non-belief,0,constrained
447,condition1,0,yiwei_unclear,106,以为,33816,7,yiwei,NA,NA,NA,yiwei,contra,1,unconstrained
447,condition1,0,juede_contrastive,12,觉得,25717,8,juede,NA,NA,NA,juede,non-belief,1,constrained
447,condition1,0,juede_contrastive,14,觉得,30050,9,juede,NA,NA,NA,juede,non-belief,1,constrained
447,condition1,1,juede_unclear,115,觉得,21517,11,juede,NA,NA,NA,juede,non-belief,1,unconstrained
447,condition1,1,juede_contrastive,17,发觉,24884,12,juede,NA,NA,NA,other,factive-other,0,constrained
447,condition1,1,juede_contrastive,18,害怕,25633,13,juede,NA,NA,NA,other,non-emotion,0,constrained
447,condition1,1,yiwei_unclear,107,以为,17567,16,yiwei,NA,NA,NA,yiwei,contra,1,unconstrained
447,condition1,1,yiwei_unclear,108,觉得,36500,17,yiwei,NA,NA,NA,juede,non-belief,0,unconstrained
447,condition1,1,yiwei_contrastive,2,以为,30100,18,yiwei,NA,NA,NA,yiwei,contra,1,constrained
447,condition1,1,yiwei_contrastive,9,以为,25571,19,yiwei,NA,NA,NA,yiwei,contra,1,constrained
447,condition1,1,juede_unclear,113,觉得,18012,20,juede,NA,NA,NA,juede,non-belief,1,unconstrained
447,condition1,2,juede_unclear,112,觉得,20934,21,juede,NA,NA,NA,juede,non-belief,1,unconstrained
