id,verb,file_name,speaker,sentence,embedded_CP_j1,embedded_content_j1,subject_j1,embedded_CP_j2,embedded_content_j2,subject_j2,sentence_type_e,embedded_sentence_type_e,sentence_type_g,embedded_sentence_type_g,sentence_type_j3,embedded_sentence_type_j3,sentence_type_c,embedded_sentence_type_c,matrix_negation_e,matrix_negation_j1,matrix_negation_g,ma_particle_j,ma_particle_e,ma_particle_p
24,zhidao,/ZhouDinner/middle/30.cha,grandma,GMO: 那你知道这些都是什么菜呀?,2 CP,,2 second_person,2 CP,,2 second_person,1 polar_question,2 wh_question,1 polar_question,2 wh_question,NA,NA,NA,NA,0 no negation,0 no negation,NA,No,NA,No
25,zhidao,/ZhouDinner/middle/32.cha,mother,MOT: 谁知道他玩游戏干吗啊?,2 CP,,3 third/NP,2 CP,,3 third/NP,2 wh_question,2 wh_question,2 wh_question,2 wh_question,NA,NA,NA,NA,0 no negation,0 no negation,NA,No,NA,No
26,zhidao,/ZhouDinner/middle/32.cha,mother,MOT: 不知道!,0 No,0 No,0 dropped,0 No,0 No,0 dropped,0 declarative,,0 declarative,,NA,NA,NA,NA,2 不,2 不,NA,No,NA,No
27,zhidao,/ZhouDinner/middle/32.cha,mother,MOT: 你怎么知道爸爸工资比我高?,2 CP,,2 second_person,2 CP,,2 second_person,3 how/why,0 declarative,3 how/why,0 declarative,NA,NA,NA,NA,0 no negation,0 no negation,NA,No,NA,No
28,zhidao,/ZhouDinner/middle/32.cha,mother,MOT: 你怎么知道妈妈小时候学画画的?,2 CP,,2 second_person,2 CP,,2 second_person,3 how/why,0 declarative,3 how/why,0 declarative,NA,NA,NA,NA,0 no negation,0 no negation,NA,No,NA,No
31,zhidao,/ZhouDinner/middle/32.cha,mother,MOT: 不知道哎.,0 No,0 No,0 dropped,0 No,0 No,0 dropped,0 declarative,,0 declarative,,NA,NA,NA,NA,2 不,2 不,NA,No,NA,No
32,zhidao,/ZhouDinner/middle/32.cha,mother,MOT: 你知道是什么吗?,2 CP,,2 second_person,2 CP,,2 second_person,1 polar_question,2 wh_question,1 polar_question,2 wh_question,NA,NA,NA,NA,0 no negation,0 no negation,NA,Yes,NA,Yes
34,zhidao,/ZhouDinner/middle/33.cha,mother,MOT: 知道吧?,0 No,0 No,0 dropped,0 No,0 No,0 dropped,1 polar_question,,1 polar_question,,NA,NA,NA,NA,0 no negation,0 no negation,NA,No,NA,No
35,zhidao,/ZhouDinner/middle/33.cha,mother,MOT: 知道吗?,0 No,0 No,0 dropped,0 No,0 No,0 dropped,1 polar_question,,1 polar_question,,NA,NA,NA,NA,0 no negation,0 no negation,NA,Yes,NA,Yes
36,zhidao,/ZhouDinner/middle/33.cha,mother,MOT: 知道吗?,0 No,0 No,0 dropped,0 No,0 No,0 dropped,1 polar_question,,1 polar_question,,NA,NA,NA,NA,0 no negation,0 no negation,NA,Yes,NA,Yes
38,zhidao,/ZhouDinner/middle/34.cha,mother,MOT: 不知道啊?,0 No,0 No,0 dropped,0 No,0 No,0 dropped,1 polar_question,,1 polar_question,,NA,NA,NA,NA,2 不,2 不,NA,No,NA,No
39,zhidao,/ZhouDinner/middle/35.cha,mother,MOT: 你知道吗?,0 No,0 No,2 second_person,0 No,0 No,2 second_person,1 polar_question,,1 polar_question,,NA,NA,NA,NA,0 no negation,0 no negation,NA,Yes,NA,Yes
41,zhidao,/ZhouDinner/middle/35.cha,mother,MOT: 知道的啊?,0 No,0 No,0 dropped,0 No,4 RC的,0 dropped,1 polar_question,,1 polar_question,,NA,NA,NA,NA,0 no negation,0 no negation,NA,No,NA,No
44,zhidao,/ZhouDinner/middle/41.cha,mother,MOT: 知道吗?,0 No,0 No,0 dropped,0 No,0 No,0 dropped,1 polar_question,,1 polar_question,,NA,NA,NA,NA,0 no negation,0 no negation,NA,Yes,NA,Yes
45,zhidao,/ZhouDinner/middle/43.cha,mother,"MOT: 我就知道你肯定还要来一碗的,对吗?",2 CP,,1 first_person,2 CP,,1 first_person,4 tag_question,0 declarative,4 tag_question,0 declarative,NA,NA,NA,NA,0 no negation,0 no negation,NA,No,NA,No
46,zhidao,/ZhouDinner/middle/47.cha,mother,"MOT: 好,我知道了.",0 No,0 No,1 first_person,0 No,0 No,1 first_person,0 declarative,,0 declarative,,NA,NA,NA,NA,0 no negation,0 no negation,NA,No,NA,No
48,zhidao,/ZhouDinner/middle/47.cha,AUN,AUN: 知道吧?,0 No,0 No,0 dropped,0 No,0 No,0 dropped,1 polar_question,,1 polar_question,,NA,NA,NA,NA,0 no negation,0 no negation,NA,No,NA,No
49,zhidao,/ZhouDinner/middle/47.cha,mother,"MOT: 要说清楚,知道吗?",0 No,0 No,0 dropped,0 No,0 No,0 dropped,4 tag_question,0 declarative,4 tag_question,0 declarative,NA,NA,NA,NA,0 no negation,0 no negation,NA,Yes,NA,No
50,zhidao,/ZhouDinner/middle/47.cha,mother,MOT: 我也不知道.,0 No,0 No,1 first_person,0 No,0 No,1 first_person,0 declarative,,0 declarative,,NA,NA,NA,NA,2 不,2 不,NA,No,NA,No
51,zhidao,/ZhouDinner/middle/48.cha,father,FAT: 让每个人都知道孩名是很不乖的.,2 CP,,3 third/NP,2 CP,,3 third/NP,0 declarative,0 declarative,0 declarative,0 declarative,NA,NA,NA,NA,0 no negation,0 no negation,NA,No,NA,No
52,zhidao,/ZhouDinner/middle/49.cha,grandma,"GMO: 好,知道.",0 No,0 No,0 dropped,0 No,0 No,0 dropped,0 declarative,,0 declarative,,NA,NA,NA,NA,0 no negation,0 no negation,NA,No,NA,No
54,zhidao,/ZhouDinner/middle/49.cha,mother,MOT: 不知道有没有到半个小时?,2 CP,,0 dropped,2 CP,,0 dropped,0 declarative,1 polar_question,0 declarative,1 polar_question,NA,NA,NA,NA,2 不,2 不,NA,No,NA,No
55,zhidao,/ZhouDinner/middle/50.cha,mother,MOT: 你知道吧.,0 No,0 No,2 second_person,0 No,0 No,2 second_person,1 polar_question,,0 declarative,,NA,NA,NA,NA,0 no negation,0 no negation,NA,No,NA,No
56,zhidao,/ZhouDinner/middle/50.cha,mother,MOT: 夹了知道的呀.,0 No,0 No,0 dropped,0 No,4 RC的,0 dropped,0 declarative,,0 declarative,,NA,NA,NA,NA,0 no negation,0 no negation,NA,No,NA,No
57,zhidao,/ZhouDinner/middle/50.cha,mother,"MOT: 吃了,通大便也很好的,知道不啦?",0 No,0 No,0 dropped,0 No,0 No,0 dropped,4 tag_question,0 declarative,4 tag_question,0 declarative,NA,NA,NA,NA,0 no negation,0 no negation,NA,No,NA,No
59,zhidao,/ZhouDinner/middle/51.cha,father,"FAT: 等下去,就知道了啊!",0 No,0 No,0 dropped,0 No,0 No,0 dropped,0 declarative,,0 declarative,,NA,NA,NA,NA,0 no negation,0 no negation,NA,No,NA,No
63,zhidao,/ZhouDinner/middle/56.cha,mother,"MOT: 一会叫奶奶陪你,知道没有?",0 No,0 No,0 dropped,0 No,0 No,0 dropped,4 tag_question,0 declarative,4 tag_question,0 declarative,NA,NA,NA,NA,0 no negation,0 no negation,NA,No,NA,No
64,zhidao,/ZhouDinner/middle/56.cha,mother,MOT: 就我们两个知道啊!,0 No,0 No,1 first_person,0 No,0 No,1 first_person,0 declarative,,0 declarative,,NA,NA,NA,NA,0 no negation,0 no negation,NA,No,NA,No
65,zhidao,/ZhouDinner/middle/56.cha,mother,MOT: 它也知道啊?,0 No,0 No,3 third/NP,0 No,0 No,3 third/NP,1 polar_question,,0 declarative,,NA,NA,NA,NA,0 no negation,0 no negation,NA,No,NA,No
66,zhidao,/ZhouDinner/middle/56.cha,mother,MOT: 它不知道啦.,0 No,0 No,3 third/NP,0 No,0 No,3 third/NP,0 declarative,,0 declarative,,NA,NA,NA,NA,2 不,2 不,NA,No,NA,No
68,zhidao,/ZhouDinner/middle/56.cha,mother,MOT: 我不知道啊.,0 No,0 No,1 first_person,0 No,0 No,1 first_person,0 declarative,,0 declarative,,NA,NA,NA,NA,2 不,2 不,NA,No,NA,No
69,zhidao,/ZhouDinner/middle/56.cha,mother,"MOT: 交到哪里,我也不知道啊!",0 No,0 No,1 first_person,0 No,0 No,1 first_person,0 declarative,,0 declarative,2 wh_question,NA,NA,NA,NA,2 不,2 不,NA,No,NA,No
72,zhidao,/ZhouDinner/middle/57.cha,mother,"MOT: 哦在家里妈妈喂,老师不知道的啊.",0 No,0 No,3 third/NP,0 No,4 RC的,3 third/NP,0 declarative,0 declarative,0 declarative,,NA,NA,NA,NA,2 不,2 不,NA,No,NA,No
73,zhidao,/ZhouDinner/middle/57.cha,mother,"MOT: 好了,班级里的同学都知道了,对不对?",0 No,0 No,3 third/NP,0 No,0 No,3 third/NP,4 tag_question,0 declarative,4 tag_question,0 declarative,NA,NA,NA,NA,0 no negation,0 no negation,NA,No,NA,No
74,zhidao,/ZhouDinner/middle/57.cha,mother,"MOT: 知道了,以后不送了.",0 No,0 No,0 dropped,0 No,0 No,0 dropped,0 declarative,,0 declarative,,NA,NA,NA,NA,0 no negation,0 no negation,NA,No,NA,No
75,zhidao,/ZhouDinner/middle/57.cha,mother,MOT: 哦<知道了>[/]知道了.,0 No,0 No,0 dropped,0 No,0 No,0 dropped,0 declarative,,0 declarative,,NA,NA,NA,NA,0 no negation,0 no negation,NA,No,NA,No
75_b,zhidao,/ZhouDinner/middle/57.cha,mother,MOT: 哦<知道了>[/]知道了.,0 No,0 No,0 dropped,0 No,0 No,0 dropped,0 declarative,,0 declarative,,NA,NA,NA,NA,0 no negation,0 no negation,NA,No,NA,No
76,zhidao,/ZhouDinner/middle/57.cha,mother,MOT: 哦我<知道了>[//]以后知道了.,0 No,0 No,1 first_person,0 No,0 No,1 first_person,0 declarative,,0 declarative,,NA,NA,NA,NA,0 no negation,0 no negation,NA,No,NA,No
76_b,zhidao,/ZhouDinner/middle/57.cha,mother,MOT: 哦我<知道了>[//]以后知道了.,0 No,0 No,0 dropped,0 No,0 No,0 dropped,0 declarative,,0 declarative,,NA,NA,NA,NA,0 no negation,0 no negation,NA,No,NA,No
77,zhidao,/ZhouDinner/middle/57.cha,mother,MOT: 我不知道按哪个.,2 CP,,1 first_person,2 CP,,1 first_person,0 declarative,2 wh_question,0 declarative,2 wh_question,NA,NA,NA,NA,2 不,2 不,NA,No,NA,No
78,zhidao,/ZhouDinner/middle/58.cha,mother,"MOT: 刚刚爸爸给我打电话了,你知道伐?",0 No,0 No,2 second_person,0 No,0 No,2 second_person,4 tag_question,0 declarative,4 tag_question,0 declarative,NA,NA,NA,NA,0 no negation,0 no negation,NA,No,NA,No
79,zhidao,/ZhouDinner/middle/58.cha,mother,"MOT: 知道的,是伐?",0 No,0 No,0 dropped,0 No,4 RC的,0 dropped,4 tag_question,0 declarative,4 tag_question,0 declarative,NA,NA,NA,NA,0 no negation,0 no negation,NA,No,NA,No
80,zhidao,/ZhouDinner/middle/58.cha,mother,"MOT: 孩名啊,其实关灯应该是你自己关的,知道伐?",0 No,0 No,0 dropped,0 No,0 No,0 dropped,4 tag_question,0 declarative,4 tag_question,0 declarative,NA,NA,NA,NA,0 no negation,0 no negation,NA,No,NA,No
81,zhidao,/ZhouDinner/middle/58.cha,mother,"MOT: 到了晚一点,奶奶会来找你的,知道伐?",0 No,0 No,0 dropped,0 No,0 No,0 dropped,4 tag_question,0 declarative,4 tag_question,0 declarative,NA,NA,NA,NA,0 no negation,0 no negation,NA,No,NA,No
82,zhidao,/ZhouDinner/middle/58.cha,mother,"MOT: 等一会奶奶会来找你的,知道伐?",0 No,0 No,0 dropped,0 No,0 No,0 dropped,4 tag_question,0 declarative,4 tag_question,0 declarative,NA,NA,NA,NA,0 no negation,0 no negation,NA,No,NA,No
83,zhidao,/ZhouDinner/middle/58.cha,mother,"MOT: 一个人睡一会又不要紧的,知道伐?",0 No,0 No,0 dropped,0 No,0 No,0 dropped,4 tag_question,0 declarative,4 tag_question,0 declarative,NA,NA,NA,NA,0 no negation,0 no negation,NA,No,NA,No
84,zhidao,/ZhouDinner/middle/58.cha,mother,MOT: 你知道伐?,0 No,0 No,2 second_person,0 No,0 No,2 second_person,1 polar_question,,1 polar_question,,NA,NA,NA,NA,0 no negation,0 no negation,NA,No,NA,No
85,zhidao,/ZhouDinner/middle/58.cha,mother,MOT: 知道伐?,0 No,0 No,0 dropped,0 No,0 No,0 dropped,1 polar_question,,1 polar_question,,NA,NA,NA,NA,0 no negation,0 no negation,NA,No,NA,No
86,zhidao,/ZhouDinner/middle/58.cha,mother,"MOT: 因为你热的时候,不知道脱衣服.",2 CP,,0 dropped,2 CP,,0 dropped,0 declarative,0 declarative,0 declarative,0 declarative,NA,NA,NA,NA,2 不,2 不,NA,No,NA,No
87,zhidao,/ZhouDinner/middle/58.cha,mother,MOT: 冷的时候不知道穿衣服.,2 CP,,0 dropped,2 CP,,0 dropped,0 declarative,0 declarative,0 declarative,0 declarative,NA,NA,NA,NA,2 不,2 不,NA,No,NA,No
88,zhidao,/ZhouDinner/middle/58.cha,mother,"MOT: 所以你咳嗽了,知道伐?",0 No,0 No,0 dropped,0 No,0 No,0 dropped,4 tag_question,0 declarative,4 tag_question,0 declarative,NA,NA,NA,NA,0 no negation,0 no negation,NA,No,NA,No
89,zhidao,/ZhouDinner/middle/58.cha,mother,MOT: 你知道伐?,0 No,0 No,2 second_person,0 No,0 No,2 second_person,1 polar_question,,1 polar_question,,NA,NA,NA,NA,0 no negation,0 no negation,NA,No,NA,No
90,zhidao,/ZhouDinner/middle/58.cha,mother,MOT: 我也不知道.,0 No,0 No,1 first_person,0 No,0 No,1 first_person,0 declarative,,0 declarative,,NA,NA,NA,NA,2 不,2 不,NA,No,NA,No
91,zhidao,/ZhouDinner/middle/58.cha,grandma,GMO: 不知道呀.,0 No,0 No,0 dropped,0 No,0 No,0 dropped,0 declarative,,0 declarative,,NA,NA,NA,NA,2 不,2 不,NA,No,NA,No
92,zhidao,/ZhouDinner/middle/58.cha,mother,"MOT: 不知道啊,我还准备送你圣诞礼物了.",0 No,0 No,0 dropped,0 No,0 No,0 dropped,0 declarative,,0 declarative,,NA,NA,NA,NA,2 不,2 不,NA,No,NA,No
93,zhidao,/ZhouDinner/middle/58.cha,mother,"MOT: 不知道,我就不送你了哦!",0 No,0 No,0 dropped,0 No,0 No,0 dropped,0 declarative,,0 declarative,,NA,NA,NA,NA,2 不,2 不,NA,No,NA,No
95,zhidao,/ZhouDinner/middle/59.cha,GFA,GFA: 知道的.,0 No,0 No,0 dropped,0 No,4 RC的,0 dropped,0 declarative,,0 declarative,,NA,NA,NA,NA,0 no negation,0 no negation,NA,No,NA,No
96,zhidao,/ZhouDinner/middle/59.cha,GFA,"GFA: 知道的,等会儿帮你.",0 No,0 No,0 dropped,0 No,4 RC的,0 dropped,0 declarative,0 declarative,0 declarative,,NA,NA,NA,NA,0 no negation,0 no negation,NA,No,NA,No
97,zhidao,/ZhouDinner/middle/63.cha,GFA,GFA: 不知道.,0 No,0 No,0 dropped,0 No,0 No,0 dropped,0 declarative,,0 declarative,,NA,NA,NA,NA,2 不,2 不,NA,No,NA,No
98,zhidao,/ZhouDinner/middle/63.cha,GFA,GFA: 知道你怕冷.,2 CP,,0 dropped,2 CP,,0 dropped,0 declarative,0 declarative,0 declarative,0 declarative,NA,NA,NA,NA,0 no negation,0 no negation,NA,No,NA,No
99,zhidao,/ZhouDinner/middle/63.cha,GFA,GFA: 我也不知道.,0 No,0 No,1 first_person,0 No,0 No,1 first_person,0 declarative,,0 declarative,,NA,NA,NA,NA,2 不,2 不,NA,No,NA,No
100,zhidao,/ZhouDinner/middle/63.cha,father,"FAT: 不知道,要交钱的吧.",0 No,0 No,0 dropped,0 No,0 No,0 dropped,0 declarative,,0 declarative,,NA,NA,NA,NA,2 不,2 不,NA,No,NA,No
101,zhidao,/ZhouDinner/middle/66.cha,mother,"MOT: 鱼多吃了有营养,聪明,知道吧?",0 No,0 No,0 dropped,0 No,0 No,0 dropped,4 tag_question,0 declarative,4 tag_question,0 declarative,NA,NA,NA,NA,0 no negation,0 no negation,NA,No,NA,No
102,zhidao,/ZhouDinner/middle/66.cha,mother,MOT: 知道吧?,0 No,0 No,0 dropped,0 No,0 No,0 dropped,1 polar_question,,1 polar_question,,NA,NA,NA,NA,0 no negation,0 no negation,NA,No,NA,No
103,zhidao,/ZhouDinner/middle/66.cha,mother,MOT: 我不知道啊!,0 No,0 No,1 first_person,0 No,0 No,1 first_person,0 declarative,,0 declarative,,NA,NA,NA,NA,2 不,2 不,NA,No,NA,No
104,zhidao,/ZhouDinner/middle/66.cha,mother,MOT: 我不知道.,0 No,0 No,1 first_person,0 No,0 No,1 first_person,0 declarative,,0 declarative,,NA,NA,NA,NA,2 不,2 不,NA,No,NA,No
106,zhidao,/ZhouDinner/middle/66.cha,mother,"MOT: 不要滴滴答答@o,知道吧?",0 No,0 No,0 dropped,0 No,0 No,0 dropped,4 tag_question,0 declarative,4 tag_question,0 declarative,NA,NA,NA,NA,0 no negation,0 no negation,NA,No,NA,No
107,zhidao,/ZhouDinner/middle/66.cha,mother,"MOT: 那么它就不会掉你的身上,知道吧?",0 No,0 No,0 dropped,0 No,0 No,0 dropped,4 tag_question,0 declarative,4 tag_question,0 declarative,NA,NA,NA,NA,0 no negation,0 no negation,NA,No,NA,No
108,zhidao,/ZhouDinner/middle/66.cha,mother,MOT: 我不知道你吃了几口了.,2 CP,,1 first_person,2 CP,,1 first_person,0 declarative,2 wh_question,0 declarative,2 wh_question,NA,NA,NA,NA,2 不,2 不,NA,No,NA,No
110,zhidao,/ZhouDinner/middle/66.cha,mother,"MOT: 你这样子都把你的印象弄掉了,知道吗?",0 No,0 No,0 dropped,0 No,0 No,0 dropped,4 tag_question,0 declarative,4 tag_question,0 declarative,NA,NA,NA,NA,0 no negation,0 no negation,NA,Yes,NA,No
111,zhidao,/ZhouDinner/middle/66.cha,mother,"MOT: 你知道你在吃饭的时候,这样子人家小朋友看到了.",2 CP,,2 second_person,2 CP,,2 second_person,0 declarative,0 declarative,0 declarative,0 declarative,NA,NA,NA,NA,0 no negation,0 no negation,NA,No,NA,No
113,zhidao,/ZhouDinner/middle/72.cha,father,"FAT: 宝宝,饭饭不烫了,就快点吃的,知道吗?",0 No,0 No,0 dropped,0 No,0 No,0 dropped,4 tag_question,0 declarative,4 tag_question,0 declarative,NA,NA,NA,NA,0 no negation,0 no negation,NA,Yes,NA,No
114,zhidao,/ZhouDinner/middle/72.cha,father,FAT: 知道不?,0 No,0 No,0 dropped,0 No,0 No,0 dropped,1 polar_question,,1 polar_question,,NA,NA,NA,NA,0 no negation,0 no negation,NA,No,NA,No
115,zhidao,/ZhouDinner/middle/72.cha,father,"FAT: 要快,知道吗?",0 No,0 No,0 dropped,0 No,0 No,0 dropped,4 tag_question,0 declarative,4 tag_question,0 declarative,NA,NA,NA,NA,0 no negation,0 no negation,NA,Yes,NA,No
116,zhidao,/ZhouDinner/middle/72.cha,father,FAT: 知道了吗?,0 No,0 No,0 dropped,0 No,0 No,0 dropped,1 polar_question,,1 polar_question,,NA,NA,NA,NA,0 no negation,0 no negation,NA,Yes,NA,Yes
117,zhidao,/ZhouDinner/middle/72.cha,father,"FAT: 脚脚要冷的,知道吗!",0 No,0 No,0 dropped,0 No,0 No,0 dropped,4 tag_question,0 declarative,4 tag_question,0 declarative,NA,NA,NA,NA,0 no negation,0 no negation,NA,Yes,NA,No
118,zhidao,/ZhouDinner/middle/73.cha,father,"FAT: 你们李老师要录像,不是拍照,知道吧?",0 No,0 No,0 dropped,0 No,0 No,0 dropped,4 tag_question,0 declarative,4 tag_question,0 declarative,NA,NA,NA,NA,0 no negation,0 no negation,NA,No,NA,No
119,zhidao,/ZhouDinner/middle/73.cha,father,FAT: 我知道.,0 No,0 No,1 first_person,0 No,0 No,1 first_person,0 declarative,,0 declarative,,NA,NA,NA,NA,0 no negation,0 no negation,NA,No,NA,No
120,zhidao,/ZhouDinner/upper/01.cha,mother,MOT: 不知道柚子茶好不好吃.,2 CP,,0 dropped,2 CP,,0 dropped,0 declarative,0 declarative,0 declarative,1 polar_question,NA,NA,NA,NA,2 不,2 不,NA,No,NA,No
121,zhidao,/ZhouDinner/upper/01.cha,mother,"MOT: 好,我知道了.",0 No,0 No,1 first_person,0 No,0 No,1 first_person,0 declarative,,0 declarative,,NA,NA,NA,NA,0 no negation,0 no negation,NA,No,NA,No
122,zhidao,/ZhouDinner/upper/01.cha,mother,MOT: 你知道为什么吗?,2 CP,,2 second_person,2 CP,,2 second_person,1 polar_question,2 wh_question,1 polar_question,2 wh_question,NA,NA,NA,NA,0 no negation,0 no negation,NA,Yes,NA,Yes
123,zhidao,/ZhouDinner/upper/01.cha,mother,MOT: 知道了!,0 No,0 No,0 dropped,0 No,0 No,0 dropped,0 declarative,,0 declarative,,NA,NA,NA,NA,0 no negation,0 no negation,NA,No,NA,No
124,zhidao,/ZhouDinner/upper/02.cha,mother,"MOT: 好,我知道.",0 No,0 No,1 first_person,0 No,0 No,1 first_person,0 declarative,,0 declarative,,NA,NA,NA,NA,0 no negation,0 no negation,NA,No,NA,No
125,zhidao,/ZhouDinner/upper/02.cha,mother,"MOT: 晚上,你知道吗?",0 No,0 No,2 second_person,0 No,0 No,2 second_person,1 polar_question,,1 polar_question,,NA,NA,NA,NA,0 no negation,0 no negation,NA,Yes,NA,No
127,zhidao,/ZhouDinner/upper/02.cha,mother,MOT: 不知道啊!,0 No,0 No,0 dropped,0 No,0 No,0 dropped,0 declarative,,0 declarative,,NA,NA,NA,NA,2 不,2 不,NA,No,NA,No
128,zhidao,/ZhouDinner/upper/02.cha,mother,MOT: 我知道了.,0 No,0 No,1 first_person,0 No,0 No,1 first_person,0 declarative,,0 declarative,,NA,NA,NA,NA,0 no negation,0 no negation,NA,No,NA,No
129,zhidao,/ZhouDinner/upper/03.cha,mother,"MOT: 好,我知道了.",0 No,0 No,1 first_person,0 No,0 No,1 first_person,0 declarative,,0 declarative,,NA,NA,NA,NA,0 no negation,0 no negation,NA,No,NA,No
130,zhidao,/ZhouDinner/upper/03.cha,grandma,GMO: 我知道.,0 No,0 No,1 first_person,0 No,0 No,1 first_person,0 declarative,,0 declarative,,NA,NA,NA,NA,0 no negation,0 no negation,NA,No,NA,No
131,zhidao,/ZhouDinner/upper/03.cha,grandma,GMO: 你知道吗?,0 No,0 No,2 second_person,0 No,0 No,2 second_person,1 polar_question,,1 polar_question,,NA,NA,NA,NA,0 no negation,0 no negation,NA,Yes,NA,Yes
132,zhidao,/ZhouDinner/upper/04.cha,mother,MOT: 我知道了.,0 No,0 No,1 first_person,0 No,0 No,1 first_person,0 declarative,,0 declarative,,NA,NA,NA,NA,0 no negation,0 no negation,NA,No,NA,No
133,zhidao,/ZhouDinner/upper/04.cha,mother,MOT: 接下去老师都知道你在家里吃饭什么样子的啦.,2 CP,,3 third/NP,2 CP,,3 third/NP,0 declarative,2 wh_question,0 declarative,2 wh_question,NA,NA,NA,NA,0 no negation,0 no negation,NA,No,NA,No
135,zhidao,/ZhouDinner/upper/07.cha,father,FAT: 知道为什么我们吃馒头吗?,2 CP,,0 dropped,2 CP,,0 dropped,1 polar_question,2 wh_question,1 polar_question,2 wh_question,NA,NA,NA,NA,0 no negation,0 no negation,NA,Yes,NA,Yes
136,zhidao,/ZhouDinner/upper/07.cha,father,"FAT: 我们是北方人,知道吗?",0 No,0 No,0 dropped,0 No,0 No,0 dropped,4 tag_question,0 declarative,4 tag_question,0 declarative,NA,NA,NA,NA,0 no negation,0 no negation,NA,Yes,NA,Yes
