"workerid","proliferate.condition","block_id","condition","item_id","original_choice","response","rt","trial_num","verb","error","response_corr","response_num","discourse_type"
324,"condition1","3","yiwei_contrastive",8,"以为","yiwei",3349,31,"yiwei",NA,"correct",1,"constrained"
324,"condition1","3","juede_unclear",117,"以为","yiwei",3074,32,"juede",NA,"incorrect",0,"unconstrained"
324,"condition1","3","yiwei_unclear",101,"觉得","juede",6718,33,"yiwei",NA,"incorrect",0,"unconstrained"
324,"condition1","3","yiwei_unclear",109,"以为","yiwei",4230,35,"yiwei",NA,"correct",1,"unconstrained"
324,"condition1","3","juede_contrastive",14,"以为","yiwei",3134,36,"juede",NA,"incorrect",0,"constrained"
324,"condition1","3","juede_unclear",111,"觉得","juede",3694,37,"juede",NA,"correct",1,"unconstrained"
324,"condition1","3","juede_contrastive",17,"以为","yiwei",4851,38,"juede",NA,"incorrect",0,"constrained"
324,"condition1","3","yiwei_contrastive",6,"觉得","juede",3377,40,"yiwei",NA,"incorrect",0,"constrained"
324,"condition1","4","yiwei_contrastive",3,"以为","yiwei",3553,41,"yiwei",NA,"correct",1,"constrained"
324,"condition1","4","juede_unclear",112,"觉得","juede",4473,43,"juede",NA,"correct",1,"unconstrained"
324,"condition1","4","yiwei_unclear",105,"以为","yiwei",7037,45,"yiwei",NA,"correct",1,"unconstrained"
324,"condition1","4","juede_contrastive",16,"觉得","juede",4736,46,"juede",NA,"correct",1,"constrained"
324,"condition1","4","yiwei_contrastive",10,"以为","yiwei",3324,47,"yiwei",NA,"correct",1,"constrained"
324,"condition1","4","juede_unclear",116,"觉得","juede",4648,48,"juede",NA,"correct",1,"unconstrained"
324,"condition1","4","juede_contrastive",11,"觉得","juede",4656,49,"juede",NA,"correct",1,"constrained"
324,"condition1","4","yiwei_unclear",103,"以为","yiwei",9254,50,"yiwei",NA,"correct",1,"unconstrained"
377,"condition1","0","yiwei_unclear",103,"以为","yiwei",7567,1,"yiwei",NA,"correct",1,"unconstrained"
377,"condition1","0","juede_contrastive",11,"觉得","juede",5047,2,"juede",NA,"correct",1,"constrained"
377,"condition1","0","yiwei_unclear",105,"以为","yiwei",9766,3,"yiwei",NA,"correct",1,"unconstrained"
377,"condition1","0","juede_unclear",118,"觉得","juede",8234,4,"juede",NA,"correct",1,"unconstrained"
377,"condition1","0","yiwei_contrastive",6,"觉得","juede",5916,5,"yiwei",NA,"incorrect",0,"constrained"
377,"condition1","0","juede_unclear",120,"觉得","juede",8685,6,"juede",NA,"correct",1,"unconstrained"
377,"condition1","0","yiwei_contrastive",7,"觉得","juede",10115,9,"yiwei",NA,"incorrect",0,"constrained"
377,"condition1","0","juede_contrastive",20,"觉得","juede",10900,10,"juede",NA,"correct",1,"constrained"
377,"condition1","1","juede_unclear",116,"觉得","juede",18049,11,"juede",NA,"correct",1,"unconstrained"
377,"condition1","1","yiwei_contrastive",8,"以为","yiwei",10567,12,"yiwei",NA,"correct",1,"constrained"
377,"condition1","1","juede_contrastive",13,"觉得","juede",8301,13,"juede",NA,"correct",1,"constrained"
377,"condition1","1","yiwei_contrastive",9,"以为","yiwei",3717,15,"yiwei",NA,"correct",1,"constrained"
377,"condition1","1","yiwei_unclear",107,"觉得","juede",6468,16,"yiwei",NA,"incorrect",0,"unconstrained"
377,"condition1","1","yiwei_unclear",109,"以为","yiwei",5399,17,"yiwei",NA,"correct",1,"unconstrained"
377,"condition1","1","juede_unclear",117,"以为","yiwei",14750,18,"juede",NA,"incorrect",0,"unconstrained"
377,"condition1","1","juede_contrastive",15,"觉得","juede",46032,19,"juede",NA,"correct",1,"constrained"
377,"condition1","2","yiwei_unclear",104,"以为","yiwei",7284,21,"yiwei",NA,"correct",1,"unconstrained"
377,"condition1","2","yiwei_unclear",101,"以为","yiwei",4550,23,"yiwei",NA,"correct",1,"unconstrained"
377,"condition1","2","yiwei_contrastive",3,"觉得","juede",7515,24,"yiwei",NA,"incorrect",0,"constrained"
377,"condition1","2","juede_contrastive",16,"觉得","juede",5567,25,"juede",NA,"correct",1,"constrained"
377,"condition1","2","juede_unclear",114,"觉得","juede",15635,27,"juede",NA,"correct",1,"unconstrained"
377,"condition1","2","yiwei_contrastive",5,"以为","yiwei",21398,28,"yiwei",NA,"correct",1,"constrained"
377,"condition1","2","juede_unclear",115,"觉得","juede",7783,29,"juede",NA,"correct",1,"unconstrained"
377,"condition1","2","juede_contrastive",18,"觉得","juede",9217,30,"juede",NA,"correct",1,"constrained"
377,"condition1","3","yiwei_unclear",110,"以为","yiwei",9266,32,"yiwei",NA,"correct",1,"unconstrained"
377,"condition1","3","yiwei_contrastive",2,"以为","yiwei",6999,33,"yiwei",NA,"correct",1,"constrained"
377,"condition1","3","juede_contrastive",19,"觉得","juede",4767,34,"juede",NA,"correct",1,"constrained"
377,"condition1","3","yiwei_unclear",108,"觉得","juede",23449,35,"yiwei",NA,"incorrect",0,"unconstrained"
377,"condition1","3","juede_unclear",113,"觉得","juede",6917,36,"juede",NA,"correct",1,"unconstrained"
377,"condition1","3","juede_contrastive",17,"觉得","juede",29816,37,"juede",NA,"correct",1,"constrained"
377,"condition1","3","yiwei_contrastive",1,"觉得","juede",5550,39,"yiwei",NA,"incorrect",0,"constrained"
377,"condition1","3","juede_unclear",111,"觉得","juede",9433,40,"juede",NA,"correct",1,"unconstrained"
377,"condition1","4","yiwei_unclear",102,"觉得","juede",11062,42,"yiwei",NA,"incorrect",0,"unconstrained"
377,"condition1","4","juede_unclear",112,"觉得","juede",6734,43,"juede",NA,"correct",1,"unconstrained"
377,"condition1","4","juede_contrastive",12,"觉得","juede",6898,45,"juede",NA,"correct",1,"constrained"
377,"condition1","4","yiwei_contrastive",10,"以为","yiwei",22700,46,"yiwei",NA,"correct",1,"constrained"
377,"condition1","4","yiwei_unclear",106,"以为","yiwei",24217,47,"yiwei",NA,"correct",1,"unconstrained"
377,"condition1","4","juede_unclear",119,"觉得","juede",7283,48,"juede",NA,"correct",1,"unconstrained"
377,"condition1","4","yiwei_contrastive",4,"以为","yiwei",6667,49,"yiwei",NA,"correct",1,"constrained"
377,"condition1","4","juede_contrastive",14,"觉得","juede",6916,50,"juede",NA,"correct",1,"constrained"
288,"condition1","0","yiwei_contrastive",10,"以为","yiwei",3498,1,"yiwei",NA,"correct",1,"constrained"
288,"condition1","0","yiwei_unclear",107,"以为","yiwei",5268,2,"yiwei",NA,"correct",1,"unconstrained"
288,"condition1","0","juede_contrastive",20,"以为","yiwei",3633,4,"juede",NA,"incorrect",0,"constrained"
288,"condition1","0","juede_contrastive",13,"觉得","juede",3550,5,"juede",NA,"correct",1,"constrained"
288,"condition1","0","juede_unclear",111,"觉得","juede",3768,6,"juede",NA,"correct",1,"unconstrained"
288,"condition1","0","yiwei_contrastive",7,"觉得","juede",4951,7,"yiwei",NA,"incorrect",0,"constrained"
288,"condition1","0","juede_unclear",120,"觉得","juede",5266,9,"juede",NA,"correct",1,"unconstrained"
288,"condition1","0","yiwei_unclear",101,"以为","yiwei",4402,10,"yiwei",NA,"correct",1,"unconstrained"
288,"condition1","1","juede_unclear",117,"觉得","juede",3997,11,"juede",NA,"correct",1,"unconstrained"
288,"condition1","1","yiwei_unclear",109,"觉得","juede",3400,12,"yiwei",NA,"incorrect",0,"unconstrained"
288,"condition1","1","juede_contrastive",16,"觉得","juede",2183,13,"juede",NA,"correct",1,"constrained"
288,"condition1","1","juede_contrastive",11,"觉得","juede",3217,14,"juede",NA,"correct",1,"constrained"
288,"condition1","1","yiwei_unclear",103,"以为","yiwei",2666,15,"yiwei",NA,"correct",1,"unconstrained"
288,"condition1","1","juede_unclear",114,"觉得","juede",3416,18,"juede",NA,"correct",1,"unconstrained"
288,"condition1","1","yiwei_contrastive",2,"以为","yiwei",2985,19,"yiwei",NA,"correct",1,"constrained"
288,"condition1","1","yiwei_contrastive",1,"觉得","juede",4050,20,"yiwei",NA,"incorrect",0,"constrained"
288,"condition1","2","juede_contrastive",14,"以为","yiwei",4498,21,"juede",NA,"incorrect",0,"constrained"
288,"condition1","2","juede_contrastive",18,"觉得","juede",3535,22,"juede",NA,"correct",1,"constrained"
288,"condition1","2","yiwei_unclear",108,"以为","yiwei",3750,24,"yiwei",NA,"correct",1,"unconstrained"
288,"condition1","2","yiwei_contrastive",3,"觉得","juede",3265,25,"yiwei",NA,"incorrect",0,"constrained"
288,"condition1","2","juede_unclear",116,"觉得","juede",4433,26,"juede",NA,"correct",1,"unconstrained"
288,"condition1","2","juede_unclear",115,"以为","yiwei",4617,27,"juede",NA,"incorrect",0,"unconstrained"
288,"condition1","2","yiwei_contrastive",8,"以为","yiwei",3400,28,"yiwei",NA,"correct",1,"constrained"
288,"condition1","2","yiwei_unclear",106,"觉得","juede",5135,29,"yiwei",NA,"incorrect",0,"unconstrained"
288,"condition1","3","juede_unclear",119,"觉得","juede",2516,31,"juede",NA,"correct",1,"unconstrained"
288,"condition1","3","juede_contrastive",17,"以为","yiwei",2634,32,"juede",NA,"incorrect",0,"constrained"
288,"condition1","3","yiwei_contrastive",6,"觉得","juede",3015,34,"yiwei",NA,"incorrect",0,"constrained"
288,"condition1","3","juede_contrastive",15,"觉得","juede",7401,35,"juede",NA,"correct",1,"constrained"
288,"condition1","3","juede_unclear",112,"觉得","juede",1933,36,"juede",NA,"correct",1,"unconstrained"
288,"condition1","3","yiwei_unclear",105,"以为","yiwei",3500,37,"yiwei",NA,"correct",1,"unconstrained"
288,"condition1","3","yiwei_contrastive",5,"以为","yiwei",3417,38,"yiwei",NA,"correct",1,"constrained"
288,"condition1","3","yiwei_unclear",104,"以为","yiwei",3651,39,"yiwei",NA,"correct",1,"unconstrained"
288,"condition1","4","juede_unclear",118,"觉得","juede",2732,41,"juede",NA,"correct",1,"unconstrained"
288,"condition1","4","juede_unclear",113,"觉得","juede",1751,43,"juede",NA,"correct",1,"unconstrained"
288,"condition1","4","yiwei_unclear",102,"以为","yiwei",2750,44,"yiwei",NA,"correct",1,"unconstrained"
288,"condition1","4","yiwei_unclear",110,"以为","yiwei",3964,45,"yiwei",NA,"correct",1,"unconstrained"
288,"condition1","4","juede_contrastive",12,"觉得","juede",2336,46,"juede",NA,"correct",1,"constrained"
288,"condition1","4","yiwei_contrastive",4,"以为","yiwei",2149,47,"yiwei",NA,"correct",1,"constrained"
288,"condition1","4","yiwei_contrastive",9,"以为","yiwei",4917,49,"yiwei",NA,"correct",1,"constrained"
288,"condition1","4","juede_contrastive",19,"觉得","juede",3916,50,"juede",NA,"correct",1,"constrained"
373,"condition1","0","juede_contrastive",16,"觉得","juede",3864,1,"juede",NA,"correct",1,"constrained"
373,"condition1","0","yiwei_unclear",101,"以为","yiwei",8891,2,"yiwei",NA,"correct",1,"unconstrained"
373,"condition1","0","yiwei_contrastive",1,"觉得","juede",3215,3,"yiwei",NA,"incorrect",0,"constrained"
373,"condition1","0","juede_contrastive",17,"以为","yiwei",4388,4,"juede",NA,"incorrect",0,"constrained"
373,"condition1","0","juede_unclear",114,"以为","yiwei",14722,6,"juede",NA,"incorrect",0,"unconstrained"
373,"condition1","0","yiwei_contrastive",5,"以为","yiwei",2962,7,"yiwei",NA,"correct",1,"constrained"
373,"condition1","0","juede_unclear",120,"觉得","juede",3833,8,"juede",NA,"correct",1,"unconstrained"
373,"condition1","0","yiwei_unclear",102,"以为","yiwei",10867,10,"yiwei",NA,"correct",1,"unconstrained"
373,"condition1","1","yiwei_unclear",108,"以为","yiwei",6992,11,"yiwei",NA,"correct",1,"unconstrained"
373,"condition1","1","yiwei_contrastive",2,"以为","yiwei",7010,12,"yiwei",NA,"correct",1,"constrained"
373,"condition1","1","juede_unclear",119,"觉得","juede",5030,13,"juede",NA,"correct",1,"unconstrained"
373,"condition1","1","yiwei_contrastive",3,"以为","yiwei",5965,14,"yiwei",NA,"correct",1,"constrained"
373,"condition1","1","juede_contrastive",13,"以为","yiwei",7184,15,"juede",NA,"incorrect",0,"constrained"
373,"condition1","1","juede_contrastive",15,"以为","yiwei",9304,16,"juede",NA,"incorrect",0,"constrained"
373,"condition1","1","juede_unclear",115,"觉得","juede",6418,18,"juede",NA,"correct",1,"unconstrained"
373,"condition1","1","yiwei_unclear",105,"以为","yiwei",6900,20,"yiwei",NA,"correct",1,"unconstrained"
373,"condition1","2","juede_contrastive",19,"觉得","juede",2778,21,"juede",NA,"correct",1,"constrained"
373,"condition1","2","yiwei_contrastive",10,"以为","yiwei",4067,22,"yiwei",NA,"correct",1,"constrained"
373,"condition1","2","juede_contrastive",18,"以为","yiwei",3502,24,"juede",NA,"incorrect",0,"constrained"
373,"condition1","2","yiwei_unclear",110,"以为","yiwei",10206,25,"yiwei",NA,"correct",1,"unconstrained"
373,"condition1","2","juede_unclear",116,"觉得","juede",6175,26,"juede",NA,"correct",1,"unconstrained"
373,"condition1","2","juede_unclear",112,"觉得","juede",4058,27,"juede",NA,"correct",1,"unconstrained"
373,"condition1","2","yiwei_contrastive",7,"觉得","juede",4262,29,"yiwei",NA,"incorrect",0,"constrained"
373,"condition1","2","yiwei_unclear",104,"以为","yiwei",6834,30,"yiwei",NA,"correct",1,"unconstrained"
373,"condition1","3","yiwei_contrastive",6,"觉得","juede",7975,31,"yiwei",NA,"incorrect",0,"constrained"
373,"condition1","3","juede_unclear",111,"觉得","juede",2693,32,"juede",NA,"correct",1,"unconstrained"
373,"condition1","3","yiwei_unclear",109,"以为","yiwei",2209,34,"yiwei",NA,"correct",1,"unconstrained"
373,"condition1","3","juede_contrastive",11,"觉得","juede",3621,35,"juede",NA,"correct",1,"constrained"
373,"condition1","3","juede_unclear",117,"以为","yiwei",2859,36,"juede",NA,"incorrect",0,"unconstrained"
373,"condition1","3","yiwei_contrastive",8,"以为","yiwei",3806,37,"yiwei",NA,"correct",1,"constrained"
373,"condition1","3","yiwei_unclear",106,"觉得","juede",5466,39,"yiwei",NA,"incorrect",0,"unconstrained"
373,"condition1","3","juede_contrastive",20,"觉得","juede",7888,40,"juede",NA,"correct",1,"constrained"
373,"condition1","4","juede_unclear",118,"觉得","juede",4229,42,"juede",NA,"correct",1,"unconstrained"
373,"condition1","4","juede_contrastive",14,"觉得","juede",5325,43,"juede",NA,"correct",1,"constrained"
373,"condition1","4","juede_contrastive",12,"觉得","juede",2250,44,"juede",NA,"correct",1,"constrained"
373,"condition1","4","yiwei_unclear",103,"以为","yiwei",5146,46,"yiwei",NA,"correct",1,"unconstrained"
373,"condition1","4","yiwei_contrastive",4,"觉得","juede",5758,47,"yiwei",NA,"incorrect",0,"constrained"
373,"condition1","4","juede_unclear",113,"觉得","juede",2533,48,"juede",NA,"correct",1,"unconstrained"
373,"condition1","4","yiwei_contrastive",9,"以为","yiwei",3733,49,"yiwei",NA,"correct",1,"constrained"
373,"condition1","4","yiwei_unclear",107,"以为","yiwei",3029,50,"yiwei",NA,"correct",1,"unconstrained"
293,"condition1","0","yiwei_contrastive",6,"以为","yiwei",8679,1,"yiwei",NA,"correct",1,"constrained"
293,"condition1","0","juede_unclear",115,"觉得","juede",9945,3,"juede",NA,"correct",1,"unconstrained"
293,"condition1","0","yiwei_unclear",108,"觉得","juede",11154,4,"yiwei",NA,"incorrect",0,"unconstrained"
293,"condition1","0","juede_contrastive",15,"以为","yiwei",13233,6,"juede",NA,"incorrect",0,"constrained"
293,"condition1","0","juede_unclear",117,"以为","yiwei",5304,7,"juede",NA,"incorrect",0,"unconstrained"
293,"condition1","0","juede_contrastive",18,"觉得","juede",12995,8,"juede",NA,"correct",1,"constrained"
293,"condition1","0","yiwei_unclear",104,"以为","yiwei",6758,9,"yiwei",NA,"correct",1,"unconstrained"
293,"condition1","0","yiwei_contrastive",2,"以为","yiwei",4837,10,"yiwei",NA,"correct",1,"constrained"
293,"condition1","1","yiwei_unclear",107,"以为","yiwei",9168,11,"yiwei",NA,"correct",1,"unconstrained"
293,"condition1","1","yiwei_contrastive",9,"觉得","juede",5470,13,"yiwei",NA,"incorrect",0,"constrained"
293,"condition1","1","juede_unclear",116,"觉得","juede",6979,14,"juede",NA,"correct",1,"unconstrained"
293,"condition1","1","juede_unclear",120,"觉得","juede",11554,15,"juede",NA,"correct",1,"unconstrained"
293,"condition1","1","yiwei_unclear",110,"以为","yiwei",8181,16,"yiwei",NA,"correct",1,"unconstrained"
293,"condition1","1","juede_contrastive",13,"以为","yiwei",12106,17,"juede",NA,"incorrect",0,"constrained"
293,"condition1","1","yiwei_contrastive",5,"以为","yiwei",5341,19,"yiwei",NA,"correct",1,"constrained"
293,"condition1","1","juede_contrastive",17,"觉得","juede",6208,20,"juede",NA,"correct",1,"constrained"
293,"condition1","2","yiwei_unclear",106,"觉得","juede",12583,21,"yiwei",NA,"incorrect",0,"unconstrained"
293,"condition1","2","yiwei_unclear",101,"以为","yiwei",4837,22,"yiwei",NA,"correct",1,"unconstrained"
293,"condition1","2","yiwei_contrastive",10,"以为","yiwei",5924,23,"yiwei",NA,"correct",1,"constrained"
293,"condition1","2","juede_unclear",114,"觉得","juede",14693,24,"juede",NA,"correct",1,"unconstrained"
293,"condition1","2","yiwei_contrastive",8,"以为","yiwei",5890,25,"yiwei",NA,"correct",1,"constrained"
293,"condition1","2","juede_contrastive",11,"觉得","juede",5973,26,"juede",NA,"correct",1,"constrained"
293,"condition1","2","juede_unclear",119,"觉得","juede",16022,27,"juede",NA,"correct",1,"unconstrained"
293,"condition1","2","juede_contrastive",19,"觉得","juede",5974,30,"juede",NA,"correct",1,"constrained"
293,"condition1","3","juede_unclear",118,"觉得","juede",5225,31,"juede",NA,"correct",1,"unconstrained"
293,"condition1","3","yiwei_unclear",109,"以为","yiwei",4436,32,"yiwei",NA,"correct",1,"unconstrained"
293,"condition1","3","juede_contrastive",16,"觉得","juede",4475,33,"juede",NA,"correct",1,"constrained"
293,"condition1","3","juede_contrastive",14,"觉得","juede",5753,34,"juede",NA,"correct",1,"constrained"
293,"condition1","3","yiwei_contrastive",1,"以为","yiwei",5008,37,"yiwei",NA,"correct",1,"constrained"
293,"condition1","3","juede_unclear",111,"觉得","juede",4811,38,"juede",NA,"correct",1,"unconstrained"
293,"condition1","3","yiwei_unclear",105,"以为","yiwei",7207,39,"yiwei",NA,"correct",1,"unconstrained"
293,"condition1","3","yiwei_contrastive",4,"以为","yiwei",4191,40,"yiwei",NA,"correct",1,"constrained"
293,"condition1","4","yiwei_unclear",103,"以为","yiwei",6715,41,"yiwei",NA,"correct",1,"unconstrained"
293,"condition1","4","yiwei_contrastive",7,"觉得","juede",4872,42,"yiwei",NA,"incorrect",0,"constrained"
293,"condition1","4","juede_contrastive",12,"觉得","juede",3974,43,"juede",NA,"correct",1,"constrained"
293,"condition1","4","yiwei_unclear",102,"觉得","juede",5627,45,"yiwei",NA,"incorrect",0,"unconstrained"
293,"condition1","4","juede_unclear",112,"觉得","juede",4978,46,"juede",NA,"correct",1,"unconstrained"
293,"condition1","4","juede_unclear",113,"觉得","juede",3052,48,"juede",NA,"correct",1,"unconstrained"
293,"condition1","4","yiwei_contrastive",3,"以为","yiwei",4474,49,"yiwei",NA,"correct",1,"constrained"
293,"condition1","4","juede_contrastive",20,"以为","yiwei",11639,50,"juede",NA,"incorrect",0,"constrained"
368,"condition1","0","yiwei_unclear",109,"以为","yiwei",4046,1,"yiwei",NA,"correct",1,"unconstrained"
368,"condition1","0","yiwei_contrastive",7,"觉得","juede",3500,2,"yiwei",NA,"incorrect",0,"constrained"
368,"condition1","0","juede_unclear",115,"觉得","juede",3533,3,"juede",NA,"correct",1,"unconstrained"
368,"condition1","0","juede_contrastive",16,"觉得","juede",4003,5,"juede",NA,"correct",1,"constrained"
368,"condition1","0","juede_contrastive",13,"以为","yiwei",3631,6,"juede",NA,"incorrect",0,"constrained"
368,"condition1","0","yiwei_unclear",107,"觉得","juede",5650,8,"yiwei",NA,"incorrect",0,"unconstrained"
368,"condition1","0","yiwei_contrastive",10,"以为","yiwei",3915,9,"yiwei",NA,"correct",1,"constrained"
368,"condition1","0","juede_unclear",111,"觉得","juede",3853,10,"juede",NA,"correct",1,"unconstrained"
368,"condition1","1","yiwei_unclear",103,"以为","yiwei",2847,11,"yiwei",NA,"correct",1,"unconstrained"
368,"condition1","1","juede_unclear",113,"觉得","juede",2900,12,"juede",NA,"correct",1,"unconstrained"
368,"condition1","1","yiwei_contrastive",4,"以为","yiwei",4465,14,"yiwei",NA,"correct",1,"constrained"
368,"condition1","1","juede_contrastive",11,"觉得","juede",4700,15,"juede",NA,"correct",1,"constrained"
368,"condition1","1","juede_unclear",114,"觉得","juede",7117,16,"juede",NA,"correct",1,"unconstrained"
368,"condition1","1","yiwei_contrastive",8,"以为","yiwei",3216,17,"yiwei",NA,"correct",1,"constrained"
